Name,Title,Authors,Year,Extra,In-Text Citation,Citation Key,URL,Publication,Short Title,Series Title,Cover,Date,Full Citation,DOI,Zotero URI,Editors,File Path,Tags,Relevance,Problem or Purpose,Theoretical/Conceptual Framework,Sample,Methods,Key Findings,Recommendations,My Comments,Related References,Due Date,Own?,Abstract,Collections,Date Added,Date Modified,Place,Proceedings Title,Item Type,Reading Status,Journal,Volume
"Grattafiori et al., 2024",The Llama 3 Herd of Models,"Grattafiori, Aaron
Dubey, Abhimanyu
Jauhri, Abhinav
Pandey, Abhinav
Kadian, Abhishek et al.",2024,arXiv:2407.21783 [cs],"Grattafiori et al., “The Llama 3 Herd of Models.”",,http://arxiv.org/abs/2407.21783,,,,,2024-11-23,"Grattafiori, Aaron, Abhimanyu Dubey, Abhinav Jauhri, Abhinav Pandey, Abhishek Kadian, Ahmad Al-Dahle, Aiesha Letman, et al. “The Llama 3 Herd of Models.” arXiv, November 23, 2024. https://doi.org/10.48550/arXiv.2407.21783.",https://doi.org/10.48550/arXiv.2407.21783,https://zotero.org/users/local/bHD6JzYJ/items/6JZ4AZIY,,/Users/slseanwu/Zotero/storage/DQRTYI4S/Grattafiori et al. - 2024 - The Llama 3 Herd of Models.pdf,"Computer Science - Artificial Intelligence, Computer Science - Computation and Language, Computer Science - Computer Vision and Pattern Recognition",,,,,,,,,,,,"Modern artificial intelligence (AI) systems are powered by foundation models. This paper presents a new set of foundation models, called Llama 3. It is a herd of language models that natively support multilinguality, coding, reasoning, and tool usage. Our largest model is a dense Transformer with 405B parameters and a context window of up to 128K tokens. This paper presents an extensive empirical evaluation of Llama 3. We find that Llama 3 delivers comparable quality to leading language models such as GPT-4 on a plethora of tasks. We publicly release Llama 3, including pre-trained and post-trained versions of the 405B parameter language model and our Llama Guard 3 model for input and output safety. The paper also presents the results of experiments in which we integrate image, video, and speech capabilities into Llama 3 via a compositional approach. We observe this approach performs competitively with the state-of-the-art on image, video, and speech recognition tasks. The resulting models are not yet being broadly released as they are still under development.",67960-DL-project,"December 3, 2024 12:36 AM (UTC)","December 3, 2024 12:37 AM (UTC)",,,Preprint,To Find,,
"Melechovsky et al., 2024",MidiCaps: A large-scale MIDI dataset with text captions,"Melechovsky, Jan
Roy, Abhinaba
Herremans, Dorien",2024,arXiv:2406.02255 [eess],"Melechovsky, Roy, and Herremans, “MidiCaps.”",,http://arxiv.org/abs/2406.02255,,MidiCaps,,,2024-07-22,"Melechovsky, Jan, Abhinaba Roy, and Dorien Herremans. “MidiCaps: A Large-Scale MIDI Dataset with Text Captions.” arXiv, July 22, 2024. https://doi.org/10.48550/arXiv.2406.02255.",https://doi.org/10.48550/arXiv.2406.02255,https://zotero.org/users/local/bHD6JzYJ/items/LH8ER3T9,,/Users/slseanwu/Zotero/storage/598QAYED/Melechovsky et al. - 2024 - MidiCaps A large-scale MIDI dataset with text captions.pdf,"Computer Science - Machine Learning, Computer Science - Multimedia, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"Generative models guided by text prompts are increasingly becoming more popular. However, no text-to-MIDI models currently exist due to the lack of a captioned MIDI dataset. This work aims to enable research that combines LLMs with symbolic music by presenting, the first openly available large-scale MIDI dataset with text captions. MIDI (Musical Instrument Digital Interface) files are widely used for encoding musical information and can capture the nuances of musical composition. They are widely used by music producers, composers, musicologists, and performers alike. Inspired by recent advancements in captioning techniques, we present a curated dataset of over 168k MIDI files with textual descriptions. Each MIDI caption describes the musical content, including tempo, chord progression, time signature, instruments, genre, and mood, thus facilitating multi-modal exploration and analysis. The dataset encompasses various genres, styles, and complexities, offering a rich data source for training and evaluating models for tasks such as music information retrieval, music understanding, and cross-modal translation. We provide detailed statistics about the dataset and have assessed the quality of the captions in an extensive listening study. We anticipate that this resource will stimulate further research at the intersection of music and natural language processing, fostering advancements in both fields.",67960-DL-project,"December 3, 2024 6:49 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Thickstun et al., 2024",Anticipatory Music Transformer,"Thickstun, John
Hall, David
Donahue, Chris
Liang, Percy",2024,arXiv:2306.08620 [cs],"Thickstun et al., “Anticipatory Music Transformer.”",,http://arxiv.org/abs/2306.08620,,,,,2024-07-25,"Thickstun, John, David Hall, Chris Donahue, and Percy Liang. “Anticipatory Music Transformer.” arXiv, July 25, 2024. https://doi.org/10.48550/arXiv.2306.08620.",https://doi.org/10.48550/arXiv.2306.08620,https://zotero.org/users/local/bHD6JzYJ/items/4KE8HSED,,/Users/slseanwu/Zotero/storage/FP89YXRC/Thickstun et al. - 2024 - Anticipatory Music Transformer.pdf,"Computer Science - Machine Learning, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing, Statistics - Machine Learning",,,,,,,,,,,,"We introduce anticipation: a method for constructing a controllable generative model of a temporal point process (the event process) conditioned asynchronously on realizations of a second, correlated process (the control process). We achieve this by interleaving sequences of events and controls, such that controls appear following stopping times in the event sequence. This work is motivated by problems arising in the control of symbolic music generation. We focus on infilling control tasks, whereby the controls are a subset of the events themselves, and conditional generation completes a sequence of events given the fixed control events. We train anticipatory infilling models using the large and diverse Lakh MIDI music dataset. These models match the performance of autoregressive models for prompted music generation, with the additional capability to perform infilling control tasks, including accompaniment. Human evaluators report that an anticipatory model produces accompaniments with similar musicality to even music composed by humans over a 20-second clip.",67960-DL-project,"December 3, 2024 6:49 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Agostinelli et al., 2023",MusicLM: Generating Music From Text,"Agostinelli, Andrea
Denk, Timo I.
Borsos, Zalán
Engel, Jesse
Verzetti, Mauro
Caillon, Antoine
Huang, Qingqing
Jansen, Aren
Roberts, Adam
Tagliasacchi, Marco
Sharifi, Matt
Zeghidour, Neil
Frank, Christian",2023,arXiv:2301.11325 [cs],"Agostinelli et al., “MusicLM.”",,http://arxiv.org/abs/2301.11325,,MusicLM,,,2023-01-26,"Agostinelli, Andrea, Timo I. Denk, Zalán Borsos, Jesse Engel, Mauro Verzetti, Antoine Caillon, Qingqing Huang, et al. “MusicLM: Generating Music From Text.” arXiv, January 26, 2023. https://doi.org/10.48550/arXiv.2301.11325.",https://doi.org/10.48550/arXiv.2301.11325,https://zotero.org/users/local/bHD6JzYJ/items/PP79PLSH,,/Users/slseanwu/Zotero/storage/UPGG2NA9/Agostinelli et al. - 2023 - MusicLM Generating Music From Text.pdf,"Computer Science - Machine Learning, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"We introduce MusicLM, a model generating high-fidelity music from text descriptions such as ""a calming violin melody backed by a distorted guitar riff"". MusicLM casts the process of conditional music generation as a hierarchical sequence-to-sequence modeling task, and it generates music at 24 kHz that remains consistent over several minutes. Our experiments show that MusicLM outperforms previous systems both in audio quality and adherence to the text description. Moreover, we demonstrate that MusicLM can be conditioned on both text and a melody in that it can transform whistled and hummed melodies according to the style described in a text caption. To support future research, we publicly release MusicCaps, a dataset composed of 5.5k music-text pairs, with rich text descriptions provided by human experts.",67960-DL-project,"December 3, 2024 6:50 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Copet et al., 2023",Simple and Controllable Music Generation,"Copet, Jade
Kreuk, Felix
Gat, Itai
Remez, Tal
Kant, David
Synnaeve, Gabriel
Adi, Yossi
Défossez, Alexandre",2024,arXiv:2306.05284 [cs],"Copet et al., “Simple and Controllable Music Generation.”",,http://arxiv.org/abs/2306.05284,,,,,2024-01-30,"Copet, Jade, Felix Kreuk, Itai Gat, Tal Remez, David Kant, Gabriel Synnaeve, Yossi Adi, and Alexandre Défossez. “Simple and Controllable Music Generation.” arXiv, January 30, 2024. https://doi.org/10.48550/arXiv.2306.05284.",https://doi.org/10.48550/arXiv.2306.05284,https://zotero.org/users/local/bHD6JzYJ/items/WVZ8MXJD,,/Users/slseanwu/Zotero/storage/KZUKJ6ZV/Copet et al. - 2024 - Simple and Controllable Music Generation.pdf,"Computer Science - Artificial Intelligence, Computer Science - Machine Learning, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"We tackle the task of conditional music generation. We introduce MusicGen, a single Language Model (LM) that operates over several streams of compressed discrete music representation, i.e., tokens. Unlike prior work, MusicGen is comprised of a single-stage transformer LM together with efficient token interleaving patterns, which eliminates the need for cascading several models, e.g., hierarchically or upsampling. Following this approach, we demonstrate how MusicGen can generate high-quality samples, both mono and stereo, while being conditioned on textual description or melodic features, allowing better controls over the generated output. We conduct extensive empirical evaluation, considering both automatic and human studies, showing the proposed approach is superior to the evaluated baselines on a standard text-to-music benchmark. Through ablation studies, we shed light over the importance of each of the components comprising MusicGen. Music samples, code, and models are available at https://github.com/facebookresearch/audiocraft",67960-DL-project,"December 3, 2024 6:50 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Evans et al., 2024",Stable Audio Open,"Evans, Zach
Parker, Julian D.
Carr, C. J.
Zukowski, Zack
Taylor, Josiah
Pons, Jordi",2024,arXiv:2407.14358 [cs],"Evans et al., “Stable Audio Open.”",,http://arxiv.org/abs/2407.14358,,,,,2024-07-31,"Evans, Zach, Julian D. Parker, C. J. Carr, Zack Zukowski, Josiah Taylor, and Jordi Pons. “Stable Audio Open.” arXiv, July 31, 2024. https://doi.org/10.48550/arXiv.2407.14358.",https://doi.org/10.48550/arXiv.2407.14358,https://zotero.org/users/local/bHD6JzYJ/items/WNSF4R39,,/Users/slseanwu/Zotero/storage/VQU4JZKA/Evans et al. - 2024 - Stable Audio Open.pdf,"Computer Science - Artificial Intelligence, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"Open generative models are vitally important for the community, allowing for fine-tunes and serving as baselines when presenting new models. However, most current text-to-audio models are private and not accessible for artists and researchers to build upon. Here we describe the architecture and training process of a new open-weights text-to-audio model trained with Creative Commons data. Our evaluation shows that the model's performance is competitive with the state-of-the-art across various metrics. Notably, the reported FDopenl3 results (measuring the realism of the generations) showcase its potential for high-quality stereo sound synthesis at 44.1kHz.",67960-DL-project,"December 3, 2024 6:50 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Deng et al., 2024",ComposerX: Multi-Agent Symbolic Music Composition with LLMs,"Deng, Qixin
Yang, Qikai
Yuan, Ruibin
Huang, Yipeng
Wang, Yi
Liu, Xubo
Tian, Zeyue
Pan, Jiahao
Zhang, Ge
Lin, Hanfeng
Li, Yizhi
Ma, Yinghao
Fu, Jie
Lin, Chenghua
Benetos, Emmanouil
Wang, Wenwu
Xia, Guangyu
Xue, Wei
Guo, Yike",2024,arXiv:2404.18081 [cs],"Deng et al., “ComposerX.”",,http://arxiv.org/abs/2404.18081,,ComposerX,,,2024-04-30,"Deng, Qixin, Qikai Yang, Ruibin Yuan, Yipeng Huang, Yi Wang, Xubo Liu, Zeyue Tian, et al. “ComposerX: Multi-Agent Symbolic Music Composition with LLMs.” arXiv, April 30, 2024. https://doi.org/10.48550/arXiv.2404.18081.",https://doi.org/10.48550/arXiv.2404.18081,https://zotero.org/users/local/bHD6JzYJ/items/THPXHHN6,,/Users/slseanwu/Zotero/storage/N6NYCAP7/Deng et al. - 2024 - ComposerX Multi-Agent Symbolic Music Composition with LLMs.pdf,"Computer Science - Artificial Intelligence, Computer Science - Computation and Language, Computer Science - Machine Learning, Computer Science - Multimedia, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"Music composition represents the creative side of humanity, and itself is a complex task that requires abilities to understand and generate information with long dependency and harmony constraints. While demonstrating impressive capabilities in STEM subjects, current LLMs easily fail in this task, generating ill-written music even when equipped with modern techniques like In-Context-Learning and Chain-of-Thoughts. To further explore and enhance LLMs' potential in music composition by leveraging their reasoning ability and the large knowledge base in music history and theory, we propose ComposerX, an agent-based symbolic music generation framework. We find that applying a multi-agent approach significantly improves the music composition quality of GPT-4. The results demonstrate that ComposerX is capable of producing coherent polyphonic music compositions with captivating melodies, while adhering to user instructions.",67960-DL-project,"December 3, 2024 6:53 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Yuan et al., 2024",ChatMusician: Understanding and Generating Music Intrinsically with LLM,"Yuan, Ruibin
Lin, Hanfeng
Wang, Yi
Tian, Zeyue
Wu, Shangda
Shen, Tianhao
Zhang, Ge
Wu, Yuhang
Liu, Cong
Zhou, Ziya
Ma, Ziyang
Xue, Liumeng
Wang, Ziyu
Liu, Qin
Zheng, Tianyu
Li, Yizhi
Ma, Yinghao
Liang, Yiming
Chi, Xiaowei
Liu, Ruibo
Wang, Zili
Li, Pengfei
Wu, Jingcheng
Lin, Chenghua
Liu, Qifeng
Jiang, Tao
Huang, Wenhao
Chen, Wenhu
Benetos, Emmanouil
Fu, Jie
Xia, Gus
Dannenberg, Roger
Xue, Wei
Kang, Shiyin
Guo, Yike",2024,arXiv:2402.16153 [cs],"Yuan et al., “ChatMusician.”",,http://arxiv.org/abs/2402.16153,,ChatMusician,,,2024-02-25,"Yuan, Ruibin, Hanfeng Lin, Yi Wang, Zeyue Tian, Shangda Wu, Tianhao Shen, Ge Zhang, et al. “ChatMusician: Understanding and Generating Music Intrinsically with LLM.” arXiv, February 25, 2024. https://doi.org/10.48550/arXiv.2402.16153.",https://doi.org/10.48550/arXiv.2402.16153,https://zotero.org/users/local/bHD6JzYJ/items/RBSIKXPT,,/Users/slseanwu/Zotero/storage/LQVVJYCP/Yuan et al. - 2024 - ChatMusician Understanding and Generating Music Intrinsically with LLM.pdf,"Computer Science - Artificial Intelligence, Computer Science - Computation and Language, Computer Science - Machine Learning, Computer Science - Multimedia, Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"While Large Language Models (LLMs) demonstrate impressive capabilities in text generation, we find that their ability has yet to be generalized to music, humanity's creative language. We introduce ChatMusician, an open-source LLM that integrates intrinsic musical abilities. It is based on continual pre-training and finetuning LLaMA2 on a text-compatible music representation, ABC notation, and the music is treated as a second language. ChatMusician can understand and generate music with a pure text tokenizer without any external multi-modal neural structures or tokenizers. Interestingly, endowing musical abilities does not harm language abilities, even achieving a slightly higher MMLU score. Our model is capable of composing well-structured, full-length music, conditioned on texts, chords, melodies, motifs, musical forms, etc, surpassing GPT-4 baseline. On our meticulously curated college-level music understanding benchmark, MusicTheoryBench, ChatMusician surpasses LLaMA2 and GPT-3.5 on zero-shot setting by a noticeable margin. Our work reveals that LLMs can be an excellent compressor for music, but there remains significant territory to be conquered. We release our 4B token music-language corpora MusicPile, the collected MusicTheoryBench, code, model and demo in GitHub.",67960-DL-project,"December 3, 2024 6:54 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Kilgour et al., 2019",Fréchet Audio Distance: A Metric for Evaluating Music Enhancement Algorithms,"Kilgour, Kevin
Zuluaga, Mauricio
Roblek, Dominik
Sharifi, Matthew",2019,arXiv:1812.08466 [eess],"Kilgour et al., “Fréchet Audio Distance.”",,http://arxiv.org/abs/1812.08466,,Fréchet Audio Distance,,,2019-01-17,"Kilgour, Kevin, Mauricio Zuluaga, Dominik Roblek, and Matthew Sharifi. “Fréchet Audio Distance: A Metric for Evaluating Music Enhancement Algorithms.” arXiv, January 17, 2019. https://doi.org/10.48550/arXiv.1812.08466.",https://doi.org/10.48550/arXiv.1812.08466,https://zotero.org/users/local/bHD6JzYJ/items/3RGQC88S,,/Users/slseanwu/Zotero/storage/VYGLS9G7/Kilgour et al. - 2019 - Fréchet Audio Distance A Metric for Evaluating Music Enhancement Algorithms.pdf,"Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"We propose the Fr\'echet Audio Distance (FAD), a novel, reference-free evaluation metric for music enhancement algorithms. We demonstrate how typical evaluation metrics for speech enhancement and blind source separation can fail to accurately measure the perceived effect of a wide variety of distortions. As an alternative, we propose adapting the Fr\'echet Inception Distance (FID) metric used to evaluate generative image models to the audio domain. FAD is validated using a wide variety of artificial distortions and is compared to the signal based metrics signal to distortion ratio (SDR), cosine distance and magnitude L2 distance. We show that, with a correlation coefficient of 0.52, FAD correlates more closely with human perception than either SDR, cosine distance or magnitude L2 distance, with correlation coefficients of 0.39, -0.15 and -0.01 respectively.",67960-DL-project,"December 3, 2024 6:54 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
"Wu et al., 2023",Large-scale Contrastive Language-Audio Pretraining with Feature Fusion and Keyword-to-Caption Augmentation,"Wu, Yusong
Chen, Ke
Zhang, Tianyu
Hui, Yuchen
Nezhurina, Marianna
Berg-Kirkpatrick, Taylor
Dubnov, Shlomo",2024,arXiv:2211.06687 [cs],"Wu et al., “Large-Scale Contrastive Language-Audio Pretraining with Feature Fusion and Keyword-to-Caption Augmentation.”",,http://arxiv.org/abs/2211.06687,,,,,2024-03-21,"Wu, Yusong, Ke Chen, Tianyu Zhang, Yuchen Hui, Marianna Nezhurina, Taylor Berg-Kirkpatrick, and Shlomo Dubnov. “Large-Scale Contrastive Language-Audio Pretraining with Feature Fusion and Keyword-to-Caption Augmentation.” arXiv, March 21, 2024. https://doi.org/10.48550/arXiv.2211.06687.",https://doi.org/10.48550/arXiv.2211.06687,https://zotero.org/users/local/bHD6JzYJ/items/CDSI3U7T,,/Users/slseanwu/Zotero/storage/FN6MZ2PA/Wu et al. - 2024 - Large-scale Contrastive Language-Audio Pretraining with Feature Fusion and Keyword-to-Caption Augmen.pdf,"Computer Science - Sound, Electrical Engineering and Systems Science - Audio and Speech Processing",,,,,,,,,,,,"Contrastive learning has shown remarkable success in the field of multimodal representation learning. In this paper, we propose a pipeline of contrastive language-audio pretraining to develop an audio representation by combining audio data with natural language descriptions. To accomplish this target, we first release LAION-Audio-630K, a large collection of 633,526 audio-text pairs from different data sources. Second, we construct a contrastive language-audio pretraining model by considering different audio encoders and text encoders. We incorporate the feature fusion mechanism and keyword-to-caption augmentation into the model design to further enable the model to process audio inputs of variable lengths and enhance the performance. Third, we perform comprehensive experiments to evaluate our model across three tasks: text-to-audio retrieval, zero-shot audio classification, and supervised audio classification. The results demonstrate that our model achieves superior performance in text-to-audio retrieval task. In audio classification tasks, the model achieves state-of-the-art performance in the zero-shot setting and is able to obtain performance comparable to models' results in the non-zero-shot setting. LAION-Audio-630K and the proposed model are both available to the public.",67960-DL-project,"December 3, 2024 6:55 PM (UTC)","December 3, 2024 6:56 PM (UTC)",,,Preprint,To Find,,
